ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
141,SYR,F,absolute,Irbid,6,M,,,
142,SYR,F,absolute,Irbid,4,M,,,
143,SYR,M,,IRBID,4,M,,,
144,SYR,F,,Jerash,14,M,,,
145,SYR,M,,IRBID,11,F,,,
146,SYR,F,,Jerash,0,M,,,
147,SYR,F,,Irbid,2,F,,,
148,SYR,M,absolute,Irbid,13,F,,,
149,SYR,M,,IRBID,7,M,,,
150,SYR,F,,IRBID,16,M,,,
151,SYR,M,,IRBID,3,F,,,
152,SYR,F,,IRBID,8,M,,,
153,SYR,M,,IRBID,4,F,,,
154,SYR,M,,IRBID,7,F,,,
155,SYR,M,,IRBID,5,M,,,
156,SYR,F,abject,Irbid,7,M,,,
157,SYR,F,abject,Irbid,16,M,,,
158,SYR,F,,IRBID,10,M,,,
159,SYR,M,,Mafraq,16,F,,,
160,SYR,F,,IRBID,7,M,,,
161,SYR,M,absolute,Irbid,14,M,,,
162,SYR,M,,Zarqa,16,F,,,
163,SYR,M,absolute,Irbid,17,M,,,
164,SYR,F,absolute,Irbid,7,M,,,
165,SYR,F,absolute,Irbid,3,F,,,
166,SYR,M,abject,Irbid,9,F,,,
167,SYR,M,,Jerash,8,F,,,
168,SYR,F,,Jerash,12,M,,,
169,SYR,M,,IRBID,7,M,,,
170,SYR,F,abject,Irbid,16,M,,,
171,SYR,M,,IRBID,0,M,,,
172,SYR,M,,IRBID,3,F,,,
173,SYR,F,,Ajloun,11,F,,,
174,SYR,F,,IRBID,11,M,,,
175,SYR,F,,Irbid,12,F,,,
176,SYR,M,,IRBID,7,M,,,
177,SYR,M,,IRBID,9,M,,,
178,SYR,M,,Mafraq,10,F,,,
179,SYR,M,,Mafraq,8,F,,,
180,SYR,F,absolute,Irbid,9,F,,,
181,SYR,F,,IRBID,3,F,,,
182,SYR,F,absolute,Irbid,3,F,,,
183,SYR,M,abject,Irbid,5,M,,,
184,SYR,F,,Jerash,15,M,,,
185,SYR,F,,IRBID,15,F,,,
186,SYR,F,,Ajloun,7,M,,,
187,SYR,M,,IRBID,13,M,,,
188,SYR,M,abject,Irbid,3,F,,,
189,SYR,F,,Ajloun,13,F,,,
190,SYR,F,,Ajloun,2,M,,,
191,SYR,F,absolute,Irbid,14,M,,,
192,SYR,F,absolute,Irbid,15,M,,,
193,SYR,F,,Ajloun,10,F,,,
194,SYR,M,,IRBID,9,M,SC,,
195,SYR,M,,IRBID,15,M,,,
196,SYR,F,absolute,Irbid,3,F,,,
197,SYR,F,absolute,Irbid,5,F,,,
198,SYR,F,absolute,Irbid,3,F,,,
199,SYR,F,abject,Amman,12,M,,,DS
200,SYR,M,,Jerash,13,M,,,
201,SYR,M,,Jerash,17,M,,,
202,SYR,M,,IRBID,11,M,,,
203,SYR,F,,Irbid,2,M,,,
204,SYR,F,,IRBID,5,M,,,
205,SYR,M,,Mafraq,13,F,,,
206,SYR,F,absolute,Irbid,17,M,,,
207,SYR,M,abject,Irbid,8,M,,,
208,SYR,M,abject,Irbid,7,F,,,
209,SYR,M,,IRBID,16,M,,,
210,SYR,M,,IRBID,16,F,,,DS
211,SYR,M,,IRBID,11,M,,,
212,SYR,F,,IRBID,13,M,,,
213,SYR,F,abject,Amman,3,M,,,
214,SYR,F,abject,Amman,6,F,,,
215,SYR,M,,IRBID,16,F,,,
216,SYR,M,,IRBID,12,F,,,
217,SYR,F,abject,Irbid,6,M,,,
218,SYR,F,abject,Irbid,15,F,,,
219,SYR,F,abject,Irbid,12,F,,,
220,SYR,F,,Ajloun,10,M,,,
221,SYR,F,Children with specific need (not abject or absolut),Ajloun,13,F,,,DS
222,SYR,M,absolute,Irbid,16,M,,,
223,SYR,M,absolute,Irbid,14,M,,,
224,SYR,F,,Ajloun,8,F,,,
225,SYR,F,absolute,Irbid,8,F,,,
226,SYR,F,absolute,Irbid,11,M,,,
227,SYR,M,,IRBID,14,F,,,
228,SYR,F,absolute,Irbid,0,M,,,
229,SYR,F,absolute,Irbid,15,M,,,
230,SYR,F,abject,Amman,10,M,,,
231,SYR,F,,IRBID,6,M,,,
232,SYR,F,,IRBID,4,F,,,
233,SYR,M,,Jerash,9,M,,,
234,SYR,F,,Irbid,2,M,,,
235,SYR,M,abject,Irbid,10,F,,,
236,SYR,M,,IRBID,14,M,,,
237,SYR,M,absolute,Irbid,6,F,,,
238,SYR,F,abject,Irbid,12,M,,,
239,SYR,F,absolute,Jerash,6,F,,,
240,SYR,F,absolute,Irbid,10,M,,,
241,SYR,M,,Ajloun,5,F,,,
242,SYR,F,abject,Irbid,12,F,,,
243,SYR,M,,IRBID,10,F,,,
244,SYR,M,,IRBID,8,F,,,
